Date,New_Hosp
2020-03-31,122
2020-04-01,31
2020-04-02,58
2020-04-03,43
2020-04-04,57
2020-04-05,39
2020-04-06,91
2020-04-07,85
2020-04-08,98
2020-04-09,74
2020-04-10,107
2020-04-11,57
2020-04-12,64
2020-04-13,45
2020-04-14,54
2020-04-15,56
2020-04-16,56
2020-04-17,83
2020-04-18,75
2020-04-19,40
2020-04-20,61
2020-04-21,64
2020-04-22,56
2020-04-23,43
2020-04-24,45
2020-04-25,50
2020-04-26,30
2020-04-27,78
2020-04-28,35
2020-04-29,63
2020-04-30,36
2020-05-01,39
2020-05-02,52
2020-05-03,45
2020-05-04,58
2020-05-05,42
2020-05-06,45
2020-05-07,64
2020-05-08,57
2020-05-09,46
2020-05-10,47
2020-05-11,38
2020-05-12,19
2020-05-13,38
2020-05-14,62
2020-05-15,55
2020-05-16,45
2020-05-17,40
2020-05-18,63
2020-05-19,51
2020-05-20,48
2020-05-21,51
2020-05-22,57
2020-05-23,44
2020-05-24,74
2020-05-25,47
2020-05-26,83
2020-05-27,44
2020-05-28,32
2020-05-29,78
2020-05-30,92
2020-05-31,69
2020-06-01,71
2020-06-02,73
2020-06-03,88
2020-06-04,81
2020-06-05,77
2020-06-06,98
2020-06-07,81
2020-06-08,98
2020-06-09,106
2020-06-10,72
2020-06-11,98
2020-06-12,107
2020-06-13,144
2020-06-14,84
2020-06-15,163
2020-06-16,166
2020-06-17,170
2020-06-18,196
2020-06-19,190
2020-06-20,212
2020-06-21,203
2020-06-22,169
2020-06-23,242
2020-06-24,257
